"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2025-01-16"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,
"Age group 8","All ages",,,,,,,
"Geography","2017","2018","2019","2020","2021","2022","2023","2024"
,"Persons",,,,,,,
"All census metropolitan areas, Newfoundland and Labrador","215,534","216,404","217,821","219,282","220,052","224,712","232,699","239,316"
"All census agglomerations, Newfoundland and Labrador","59,205","59,088","58,928","58,723","58,938","59,184","59,599","60,046"
"All census metropolitan areas and census agglomerations, Prince Edward Island","93,803","95,798","98,256","100,421","102,155","105,726","110,506","114,266"
"All census agglomerations, Prince Edward Island","93,803","95,798","98,256","100,421","102,155","105,726","110,506","114,266"
"All census metropolitan areas and census agglomerations, Nova Scotia","653,817","662,433","674,530","685,941","694,096","714,912","741,842","758,878"
"All census metropolitan areas, Nova Scotia","445,326","453,010","462,737","473,565","482,144","498,943","517,981","530,167"
"All census agglomerations, Nova Scotia","208,491","209,423","211,793","212,376","211,952","215,969","223,861","228,711"
"All census metropolitan areas and census agglomerations, New Brunswick","480,244","483,934","489,543","494,717","500,212","514,218","533,938","553,143"
"All census metropolitan areas, New Brunswick","386,207","390,044","395,519","400,529","405,533","418,633","436,494","452,969"
"All census agglomerations, New Brunswick","94,037","93,890","94,024","94,188","94,679","95,585","97,444","100,174"
"All census metropolitan areas and census agglomerations, Quebec","6,785,500","6,872,701","6,962,423","7,015,292","7,010,381","7,089,736","7,245,361","7,435,397"
"All census metropolitan areas, Quebec","5,982,869","6,067,208","6,152,941","6,200,602","6,187,445","6,258,489","6,404,951","6,583,650"
"All census agglomerations, Quebec","802,631","805,493","809,482","814,690","822,936","831,247","840,410","851,747"
"All census metropolitan areas and census agglomerations, Ontario","12,666,402","12,896,245","13,124,744","13,295,750","13,353,212","13,628,560","14,097,798","14,587,815"
"All census metropolitan areas, Ontario","11,616,207","11,833,303","12,050,393","12,210,984","12,254,838","12,509,634","12,958,362","13,426,602"
"All census agglomerations, Ontario","1,050,195","1,062,942","1,074,351","1,084,766","1,098,374","1,118,926","1,139,436","1,161,213"
"All census metropolitan areas and census agglomerations, Manitoba","952,011","966,729","979,912","986,844","995,308","1,012,976","1,051,956","1,087,856"
"All census metropolitan areas, Manitoba","821,697","835,049","847,015","852,805","860,237","875,837","910,729","941,641"
"All census agglomerations, Manitoba","130,314","131,680","132,897","134,039","135,071","137,139","141,227","146,215"
"All census metropolitan areas and census agglomerations, Saskatchewan","749,745","758,983","767,120","770,911","771,185","781,839","811,169","839,644"
"All census metropolitan areas, Saskatchewan","563,222","572,128","580,165","585,145","585,624","596,453","623,952","649,368"
"All census agglomerations, Saskatchewan","186,523","186,855","186,955","185,766","185,561","185,386","187,217","190,276"
"All census metropolitan areas and census agglomerations, Alberta","3,453,851","3,507,162","3,567,776","3,619,890","3,644,427","3,722,273","3,888,299","4,081,438"
"All census metropolitan areas, Alberta","3,067,397","3,115,818","3,172,131","3,221,891","3,245,576","3,323,230","3,481,439","3,663,098"
"All census agglomerations, Alberta","386,454","391,344","395,645","397,999","398,851","399,043","406,860","418,340"
"All census metropolitan areas and census agglomerations, British Columbia","4,416,069","4,495,433","4,579,118","4,639,462","4,683,796","4,807,647","4,975,704","5,139,899"
"All census metropolitan areas, British Columbia","3,743,939","3,814,442","3,889,654","3,943,419","3,980,742","4,093,367","4,251,293","4,406,428"
"All census agglomerations, British Columbia","672,130","680,991","689,464","696,043","703,054","714,280","724,411","733,471"
"All census metropolitan areas and census agglomerations, Yukon","31,123","31,835","32,498","33,332","34,233","35,235","36,743","38,000"
"All census agglomerations, Yukon","31,123","31,835","32,498","33,332","34,233","35,235","36,743","38,000"
"All census metropolitan areas and census agglomerations, Northwest Territories","21,169","21,286","21,491","21,658","21,904","22,147","22,481","22,735"
"All census agglomerations, Northwest Territories","21,169","21,286","21,491","21,658","21,904","22,147","22,481","22,735"




Footnotes:
1,"Population estimates based on the Standard Geographical Classification (SGC) 2021 as delineated in the 2021 Census."
2,"A census metropolitan area (CMA) or a census agglomeration (CA) is formed by one or more adjacent municipalities centred on a population centre (known as the core). A CMA must have a total population of at least 100,000, based on data from the current Census of Population Program, of which 50,000 or more must live in the core based on adjusted data from the previous Census of Population Program. A CA must have a core population of at least 10,000 also based on data from the previous Census of Population Program. To be included in the CMA or CA, other adjacent municipalities must have a high degree of integration with the core, as measured by commuting flows derived from data on place of work from the previous Census Program. If the population of the core of a CA falls below 10,000, the CA is retired from the next census. However, once an area becomes a CMA, it is retained as a CMA even if its total population declines below 100,000 or the population of its core falls below 50,000. All areas inside the CMA or CA that are not population centres are rural areas. When a CA has a core of at least 50,000, based on data from the previous Census of Population, it is subdivided into census tracts. Census tracts are maintained for the CA even if the population of the core subsequently falls below 50,000. All CMAs are subdivided into census tracts (2021 Census Dictionary, catalogue number 98-301-X2021001)."
3,"An area outside census metropolitan areas and census agglomerations is made up of all areas (within a province or territory) unallocated to a census metropolitan area (CMA) or census agglomeration (CA)."
4,"Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated reserves and settlements) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the year in consideration."
5,"Population estimates as of July 1 are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022 and 2023, and preliminary postcensal for 2024."
6,"The population growth, which is used to calculate population estimates of census metropolitan areas and census agglomerations (table 17100148), is comprised of the components of population growth (table 17100149)."
7,"This table replaces table 17100135."
8,"Age on July 1."



"How to cite: Statistics Canada. Table 17-10-0148-01  Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710014801
